Empregados - admissões - Novo Caged
Sigla;Código;Estado;2023.01;2023.02;2023.03;2023.04;2023.05;2023.06;2023.07;2023.08;2023.09;2023.10;2023.11;2023.12;2024.01;2024.02;2024.03;2024.04;2024.05;2024.06;2024.07;2024.08;2024.09;2024.10;2024.11;
AC;12;Acre;3633;4170;4738;3659;4508;4401;4213;4406;3804;3915;3790;3461;3939;4798;5003;5094;4710;4413;4750;4492;4642;4656;3905;
AL;27;Alagoas;13265;11638;14951;12148;13246;13549;13605;16761;27443;15583;14582;11015;14097;13135;14865;15678;15370;14601;16625;20445;28968;17844;15216;
AM;13;Amazonas;19385;18231;19634;18497;20191;20129;21211;23053;19809;20125;19630;15411;21584;21421;22651;23687;23375;23844;26037;27276;24472;26221;25689;
AP;16;Amapá;3302;2977;3207;2820;3056;3270;3809;4016;3852;3713;3362;2795;4222;3811;3516;3778;3595;5081;4153;4622;4206;4086;3307;
BA;29;Bahia;69209;68886;82027;74383;76189;71199;72577;82230;72460;71894;70975;58434;73389;79199;86774;84239;82982;77192;83823;89778;83366;82210;76694;
CE;23;Ceará;44599;43144;47553;42883;46216;48059;47597;54276;50402;47610;45220;35081;47820;48488;49129;50529;52255;53016;54863;57431;54899;53756;49349;
DF;53;Distrito Federal;31868;36736;36275;31807;33418;33300;35042;37207;34061;35858;33194;27519;35508;38813;39878;38284;37001;35542;38171;39671;39539;40436;34863;
ES;32;Espírito Santo;39621;39202;46457;40149;53928;42581;41987;43789;40325;41141;39677;34300;43899;45858;49167;51972;52900;45337;48876;48666;46307;48747;41923;
GO;52;Goiás;77136;74899;86209;77780;78198;76905;74011;80421;74409;74489;69259;56825;86239;86855;90833;91738;83129;82140;83246;82772;79654;82261;72689;
MA;21;Maranhão;19511;17888;21582;18503;20303;23574;20932;22916;21453;20936;19829;14815;19946;19392;22112;22216;22623;24822;22983;23368;22936;22079;21308;
MG;31;Minas Gerais;195375;216617;255626;213890;236174;221608;212464;233002;208504;208034;199066;162415;222131;247414;258452;251622;244639;231956;241808;239935;229804;232867;204592;
MS;50;Mato Grosso do Sul;33424;33992;37054;32390;34253;31951;32136;35694;31656;31222;31537;23150;36800;39054;39331;37832;33888;32933;34666;34376;33272;33396;30494;
MT;51;Mato Grosso;57198;50449;52792;48031;52570;55344;52869;54870;51655;50197;44735;38326;65806;59538;55237;56677;54776;57703;58082;54779;51753;52473;43825;
PA;15;Pará;33294;34824;37773;35307;38990;39757;38238;42553;40525;37201;34128;26470;35464;41307;39781;43749;41209;42267;42404;42773;42508;40325;36330;
PB;25;Paraíba;14520;14996;17226;13960;17235;14608;17447;23284;17766;16801;16477;11954;17239;17867;18886;18930;17548;18029;21637;25212;19402;19010;18521;
PE;26;Pernambuco;45558;47336;46426;42439;47239;46069;46226;59515;57870;49552;50528;39307;49439;49960;51986;52533;51530;50407;53859;64779;61287;54384;50407;
PI;22;Piauí;10041;10246;12111;11763;12707;14092;13686;13556;12627;12400;11601;8087;11798;12077;14051;13417;12722;13251;13000;13368;11848;12355;10864;
PR;41;Paraná;145339;162139;170527;142516;152265;145477;143393;160230;142469;149544;141360;109632;166747;190995;178476;176842;163473;161305;173331;171010;165300;173621;146718;
RJ;33;Rio de Janeiro;116953;126037;143954;122110;127026;123639;122470;136585;126868;127037;130370;118038;128420;144026;150797;140339;141004;134878;140825;147151;144748;142827;134803;
RN;24;Rio Grande do Norte;15546;15190;18035;15877;17162;18460;18950;22036;19348;16808;18370;13449;17836;17527;20842;20233;19624;20160;23091;24264;21384;21330;18613;
RO;11;Rondônia;12100;14118;14132;12199;14111;13946;13639;14539;13191;12536;12161;9251;13394;15857;14429;14301;13672;14024;15915;14658;13147;13529;11952;
RR;14;Roraima;4631;3912;4765;3982;3626;3300;3590;4099;3981;3332;3822;2613;3596;4307;4194;4070;4108;3474;3885;4400;4056;4054;4432;
RS;43;Rio Grande do Sul;121273;131968;149296;120882;119159;112240;109217;123106;104420;115882;114640;87047;134553;155306;146638;141418;94129;108299;129392;131781;124083;141716;127120;
SC;42;Santa Catarina;133903;140423;147396;119009;128253;118427;116639;131824;122880;125333;117156;90807;152912;163981;149297;149261;134519;131434;142252;139915;139734;148816;128644;
SE;28;Sergipe;9589;9286;10760;9427;9606;8940;9321;11235;13883;10055;9485;7753;10298;11285;11364;11525;10169;10509;10738;12452;14865;11966;11089;
SP;35;São Paulo;571932;590669;667574;582252;617248;586906;578329;642890;582205;621054;594400;481166;639442;704433;713338;723611;683314;656213;680724;693487;680882;720450;638754;
TO;17;Tocantins;9710;10418;11547;9262;10753;11176;10375;12076;10306;10867;9562;7523;11287;12358;11371;11865;11210;11313;11183;11859;10850;11780;9916;
